product_id,category,regime,stock_qty,days_without_sale,suggested_discount,last_sale_date
1,UNDERWARE,commodity,6,389,30%,2018-12-06
4,UNDERWARE,commodity,2,388,30%,2018-12-07
6,UNDERWARE,commodity,8,388,30%,2018-12-07
8,UNDERWARE,commodity,3,429,30%,2018-10-27
57,UNDERWARE,commodity,1,419,30%,2018-11-06
93,UNDERWARE,commodity,1,400,30%,2018-11-21
133,UNDERWARE,commodity,3,427,30%,2018-10-29
167,UNDERWARE,commodity,1,408,30%,2018-11-17
236,EROTICA,commodity,1,411,30%,2018-11-14
293,UNDERWARE,commodity,1,374,30%,2018-12-02
373,UNDERWARE,commodity,2,387,30%,2018-12-08
407,UNDERWARE,commodity,3,406,30%,2018-11-19
413,UNDERWARE,commodity,1,388,30%,2018-11-16
415,UNDERWARE,commodity,1,383,30%,2018-12-12
491,UNDERWARE,commodity,1,396,30%,2018-11-29
508,UNDERWARE,commodity,7,415,30%,2018-11-10
528,UNDERWARE,commodity,7,413,30%,2018-11-12
530,UNDERWARE,commodity,4,409,30%,2018-11-16
532,UNDERWARE,commodity,1,436,30%,2018-10-20
535,UNDERWARE,commodity,1,422,30%,2018-11-03
536,UNDERWARE,commodity,4,391,30%,2018-12-04
543,UNDERWARE,commodity,1,382,30%,2018-11-27
546,UNDERWARE,commodity,1,383,30%,2018-12-12
548,UNDERWARE,commodity,1,383,30%,2018-12-12
822,UNDERWARE,commodity,6,385,30%,2018-12-10
824,UNDERWARE,commodity,10,397,30%,2018-10-30
877,UNDERWARE,commodity,1,401,30%,2018-11-24
878,UNDERWARE,commodity,1,395,30%,2018-11-30
879,UNDERWARE,commodity,2,385,30%,2018-12-10
906,UNDERWARE,commodity,1,375,30%,2018-12-01
907,UNDERWARE,commodity,2,387,30%,2018-12-08
908,UNDERWARE,commodity,2,401,30%,2018-11-06
921,UNDERWARE,commodity,1,380,30%,2018-11-24
924,UNDERWARE,commodity,1,425,30%,2018-10-31
956,UNDERWARE,commodity,8,403,30%,2018-11-22
1045,UNDERWARE,commodity,1,405,30%,2018-11-06
1066,UNDERWARE,commodity,4,406,30%,2018-11-12
1070,UNDERWARE,commodity,1,389,30%,2018-12-06
1076,UNDERWARE,commodity,1,404,30%,2018-11-21
1152,UNDERWARE,commodity,6,372,30%,2018-12-08
1503,UNDERWARE,commodity,1,408,30%,2018-11-17
1523,UNDERWARE,commodity,1,408,30%,2018-11-17
1560,UNDERWARE,commodity,9,386,30%,2018-12-09
1566,UNDERWARE,commodity,2,422,30%,2018-11-03
1570,UNDERWARE,commodity,2,422,30%,2018-11-03
1572,UNDERWARE,commodity,3,425,30%,2018-10-31
1579,UNDERWARE,commodity,5,391,30%,2018-11-22
1582,UNDERWARE,commodity,5,372,30%,2018-12-12
1593,UNDERWARE,commodity,1,416,30%,2018-11-09
1595,UNDERWARE,commodity,1,395,30%,2018-11-30
1600,UNDERWARE,commodity,2,383,30%,2018-12-12
2068,UNDERWARE,commodity,1,433,30%,2018-10-23
2323,UNDERWARE,commodity,1,392,30%,2018-12-03
2335,UNDERWARE,commodity,1,391,30%,2018-12-04
2384,UNDERWARE,commodity,6,372,30%,2018-12-05
2385,UNDERWARE,commodity,7,406,30%,2018-11-19
2386,UNDERWARE,commodity,4,408,30%,2018-11-17
2387,UNDERWARE,commodity,3,387,30%,2018-11-09
2430,UNDERWARE,commodity,1,401,30%,2018-11-24
2434,UNDERWARE,commodity,3,385,30%,2018-12-10
2435,UNDERWARE,commodity,2,408,30%,2018-11-17
2440,UNDERWARE,commodity,2,387,30%,2018-12-08
2480,UNDERWARE,commodity,5,386,30%,2018-12-09
2714,UNDERWARE,commodity,1,372,30%,2018-12-07
2718,VESTUARIO,commodity,2,401,30%,2018-11-09
2721,UNDERWARE,commodity,2,434,30%,2018-10-22
2754,UNDERWARE,commodity,2,418,30%,2018-11-07
2756,UNDERWARE,commodity,1,409,30%,2018-11-16
2891,UNDERWARE,commodity,1,408,30%,2018-11-17
2892,UNDERWARE,commodity,1,401,30%,2018-11-24
2893,UNDERWARE,commodity,9,380,30%,2018-12-12
2941,UNDERWARE,commodity,2,399,30%,2018-11-26
2948,UNDERWARE,commodity,1,419,30%,2018-11-06
2995,UNDERWARE,commodity,1,394,30%,2018-12-01
2996,UNDERWARE,commodity,1,393,30%,2018-12-02
3023,UNDERWARE,commodity,1,419,30%,2018-11-06
3099,UNDERWARE,commodity,13,408,30%,2018-11-17
3100,UNDERWARE,commodity,6,359,30%,2018-12-12
3107,UNDERWARE,commodity,4,393,30%,2018-11-17
3211,UNDERWARE,commodity,10,387,30%,2018-12-08
3239,UNDERWARE,commodity,8,387,30%,2018-12-08
3246,UNDERWARE,commodity,1,388,30%,2018-12-07
3249,UNDERWARE,commodity,1,376,30%,2018-12-11
3251,UNDERWARE,commodity,1,392,30%,2018-12-03
3301,UNDERWARE,commodity,1,425,30%,2018-10-31
3437,UNDERWARE,commodity,1,396,30%,2018-11-29
3438,UNDERWARE,commodity,1,393,30%,2018-12-02
3439,UNDERWARE,commodity,1,399,30%,2018-11-26
3456,LINHA NOITE,commodity,3,416,30%,2018-11-09
3521,UNDERWARE,commodity,6,409,30%,2018-11-16
3523,UNDERWARE,commodity,2,406,30%,2018-11-19
3566,UNDERWARE,commodity,4,368,30%,2018-12-02
3750,UNDERWARE,commodity,5,365,30%,2018-12-10
3754,UNDERWARE,commodity,1,395,30%,2018-11-30
4219,UNDERWARE,commodity,3,432,30%,2018-10-24
4252,UNDERWARE,commodity,5,384,30%,2018-12-11
4271,UNDERWARE,commodity,1,383,30%,2018-12-12
4340,MODA PRAIA,seasonal,3,406,30%,2018-11-17
4353,MODA PRAIA,commodity,17,364,30%,2018-12-12
4354,MODA PRAIA,commodity,14,410,30%,2018-11-06
4359,MODA PRAIA,commodity,1,383,30%,2018-12-12
4360,MODA PRAIA,commodity,5,399,30%,2018-11-26
4501,UNDERWARE,commodity,1,397,30%,2018-11-28
4593,MODA PRAIA,commodity,1,394,30%,2018-12-01
4599,MODA PRAIA,commodity,2,416,30%,2018-11-09
4600,MODA PRAIA,commodity,3,384,30%,2018-12-11
4605,MODA PRAIA,commodity,3,413,30%,2018-11-12
4606,MODA PRAIA,commodity,4,408,30%,2018-11-17
4613,MODA PRAIA,commodity,1,412,30%,2018-11-13
5101,UNDERWARE,commodity,1,424,30%,2018-11-01
5134,UNDERWARE,commodity,1,389,30%,2018-12-06
5147,UNDERWARE,commodity,1,424,30%,2018-11-01
5412,MODA PRAIA,commodity,2,390,30%,2018-12-05
5414,MODA PRAIA,commodity,3,410,30%,2018-11-06
5416,MODA PRAIA,commodity,3,408,30%,2018-11-17
5417,MODA PRAIA,commodity,10,357,30%,2018-12-12
5775,UNDERWARE,commodity,1,395,30%,2018-11-30
5789,UNDERWARE,commodity,5,408,30%,2018-11-17
5868,UNDERWARE,commodity,1,389,30%,2018-12-06
5902,UNDERWARE,commodity,1,418,30%,2018-10-24
5996,UNDERWARE,commodity,1,402,30%,2018-11-23
6072,UNDERWARE,commodity,1,386,30%,2018-12-01
6108,UNDERWARE,commodity,1,416,30%,2018-11-09
6122,UNDERWARE,commodity,1,394,30%,2018-12-01
6130,UNDERWARE,commodity,1,396,30%,2018-11-17
6131,UNDERWARE,commodity,1,385,30%,2018-11-17
6313,UNDERWARE,commodity,1,422,30%,2018-11-03
6351,UNDERWARE,commodity,3,381,30%,2018-11-17
6484,UNDERWARE,commodity,2,414,30%,2018-10-23
6525,UNDERWARE,commodity,3,385,30%,2018-12-10
6601,UNDERWARE,commodity,1,422,30%,2018-11-03
6704,UNDERWARE,commodity,1,360,30%,2018-12-07
6717,UNDERWARE,commodity,1,429,30%,2018-10-24
6719,UNDERWARE,commodity,1,412,30%,2018-11-13
7326,UNDERWARE,commodity,2,403,30%,2018-11-22
7366,UNDERWARE,commodity,3,403,30%,2018-11-22
7470,UNDERWARE,commodity,1,401,30%,2018-11-24
7472,UNDERWARE,commodity,1,374,30%,2018-11-27
7637,MODA PRAIA,seasonal,7,385,30%,2018-12-10
7638,MODA PRAIA,seasonal,7,388,30%,2018-12-07
7644,MODA PRAIA,commodity,4,412,30%,2018-11-13
7645,MODA PRAIA,commodity,1,397,30%,2018-11-28
7885,UNDERWARE,commodity,7,372,30%,2018-12-07
8126,MODA PRAIA,commodity,33,373,30%,2018-12-06
8128,MODA PRAIA,commodity,7,384,30%,2018-11-17
8130,MODA PRAIA,commodity,6,411,30%,2018-11-14
8150,MODA PRAIA,commodity,3,408,30%,2018-11-17
8152,MODA PRAIA,commodity,6,387,30%,2018-12-08
8158,MODA PRAIA,commodity,4,426,30%,2018-10-30
8261,MODA PRAIA,seasonal,4,391,30%,2018-12-04
8262,MODA PRAIA,seasonal,4,389,30%,2018-12-06
8263,MODA PRAIA,seasonal,3,384,30%,2018-12-11
8284,UNDERWARE,commodity,3,388,30%,2018-12-07
8333,UNDERWARE,commodity,3,412,30%,2018-11-13
8575,ACESSORIOS,commodity,1,396,30%,2018-11-29
8711,ACESSORIOS,commodity,1,427,30%,2018-10-29
8746,UNDERWARE,commodity,2,397,30%,2018-11-03
8751,UNDERWARE,commodity,3,364,30%,2018-12-08
8755,UNDERWARE,commodity,1,372,30%,2018-11-26
8761,UNDERWARE,commodity,7,383,30%,2018-12-12
8769,UNDERWARE,commodity,2,422,30%,2018-11-03
8773,UNDERWARE,commodity,2,388,30%,2018-12-07
8783,UNDERWARE,commodity,1,388,30%,2018-12-07
8786,UNDERWARE,commodity,1,388,30%,2018-12-07
8809,UNDERWARE,commodity,2,388,30%,2018-12-07
8811,UNDERWARE,commodity,3,387,30%,2018-12-08
8814,UNDERWARE,commodity,3,403,30%,2018-11-22
8869,UNDERWARE,commodity,1,394,30%,2018-12-01
